qosItems_LA,qosItems_PLLP,qosItems_PLRP,qosItems_JI,qosItems_ST,qosItems_LCT,qosItems_RCT,qosItems_MT,qosItems_UD,qosItems_NI,qosItems_TT,qosItems_TURN_TT,qosItems_IPR_Subnet_L2,qosItems_IPL_Subnet_L2,meanOpinionScore
19.0,0.0,0.0,,,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,
1.0,0.0,0.0,1.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
1.0,0.0,0.0,5.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.18
94.0,0.87424344,12.116788,13.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.104.0,1.98
17.0,0.0,0.0,1.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
44.0,0.36630037,0.1497006,5.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.104.0,4.04
41.0,0.0,1.6483517,17.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.104.0,3.64
33.0,0.0,0.0,13.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.104.0,4.07
41.0,0.0,3.5897436,6.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.104.0,3.2
97.0,0.0,5.9891105,13.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.104.0,2.71
21.0,0.0,0.41039672,16.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.77.0,3.97
22.0,0.0077585536,1.010532,4.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.77.0,3.83
17.0,0.0,0.466827,5.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,62.166.0,3.97
20.0,0.0,0.81492215,3.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.77.0,3.88
18.0,0.021181952,0.010594343,1.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
36.0,0.0,0.5581915,1.0,PCMU,relay,host,audio,Android,wlan,udp,udp,212.159.0,34.77.0,3.94
17.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
19.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
0.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
0.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
16.0,0.0,0.0,1.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,62.166.0,4.09
18.0,0.0,0.0,4.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,62.166.0,4.09
18.0,0.012902809,1.2258855,1.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.78
14.0,0.0,0.8564437,14.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.86
18.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
62.0,0.042194095,0.03170577,9.0,opus,srflx,srflx,audio,iOS,wwan,udp,,109.36.0,109.36.0,4.15
57.0,0.031715825,0.04224162,5.0,opus,srflx,srflx,audio,Android,wwan,udp,,109.36.0,109.36.0,4.15
19.0,0.0,1.1241876,11.0,PCMA,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.90.0,3.79
1.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
1.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
18.0,0.0,0.009574417,2.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
8.0,0.0,0.0,,,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,
57.0,0.0,1.7844565,5.0,opus,relay,host,audio,iOS,wwan,udp,udp,212.159.0,34.77.0,3.3
7.0,0.023228804,2.1744628,11.0,opus,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,3.15
21.0,0.0,0.8830022,14.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.77.0,3.85
72.0,0.0,0.0,13.0,opus,relay,host,audio,iOS,wwan,udp,tcp,212.159.0,34.90.0,4.17
19.0,0.0,0.0,9.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
17.0,0.0,0.0,3.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
49.0,0.0,1.3736551,4.0,PCMA,relay,host,audio,iOS,wwan,udp,udp,212.159.0,34.90.0,3.72
16.0,0.0,0.0,,,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,
25.0,0.0,0.0,18.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.07
11.0,0.0,1.6254516,3.0,PCMA,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,3.68
1.0,0.0,0.0,1.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
1.0,0.0,0.0,,,host,host,screen share,Win32,lan,udp,,10.10.0,10.10.0,
1.0,0.0,0.0,8.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.18
1.0,0.0,0.0,,VP8,host,host,video,Win32,lan,udp,,10.10.0,10.10.0,
17.0,0.0,0.0,15.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.08
14.0,0.0,1.4776816,1.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.72
1.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
1.0,0.0,0.0,1.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
18.0,0.0,0.5714286,17.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.93
30.0,0.0,2.0920503,16.0,PCMA,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.77.0,3.54
26.0,0.0,1.6926476,1.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.77.0,3.66
51.0,0.0,2.2062037,5.0,PCMA,relay,host,audio,iOS,wwan,udp,udp,212.159.0,34.90.0,3.51
44.0,0.0,1.9161676,19.0,PCMA,relay,host,audio,iOS,wwan,udp,udp,212.159.0,34.90.0,3.57
17.0,0.0,0.0049704257,3.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
10.0,0.0,1.7886178,5.0,opus,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,3.31
16.0,0.0,1.0493745,14.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.81
12.0,0.0,0.9729993,5.0,opus,srflx,host,audio,Android,wlan,udp,,212.159.0,77.161.0,3.68
18.0,0.0,0.0,3.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
56.0,0.0,0.0,,,relay,host,audio,iOS,wwan,udp,udp,212.159.0,34.90.0,
17.0,0.0,1.3309135,15.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.74
21.0,0.0,0.6310958,11.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.90.0,3.92
16.0,0.0,0.0,,,relay,host,audio,Win32,lan,udp,tls,212.159.0,34.90.0,
55.0,0.0,1.9806613,3.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.90.0,3.57
16.0,0.0,0.0,0.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
108.0,0.0,6.1469264,6.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.90.0,2.68
37.0,0.0,1.2302421,9.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.90.0,3.76
17.0,0.0,0.0,2.0,opus,relay,relay,audio,iOS,wlan,udp,tls,34.90.0,34.90.0,4.18
17.0,0.0,0.0,4.0,opus,srflx,srflx,audio,Win32,lan,udp,,80.114.0,185.149.0,4.18
5.0,0.0,0.0,2.0,opus,prflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.19
6.0,0.0,0.0,,,prflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
5.0,0.0,0.0,,,prflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
5.0,0.0,0.0,5.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.18
5.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
5.0,0.0,0.0,,,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0,0.00053303485,1.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.19
5.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
5.0,0.0,0.0,,,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
49.0,0.0,0.0,1.0,PCMU,relay,host,audio,iOS,wwan,udp,udp,212.159.0,34.90.0,4.07
16.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
18.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
23.0,0.003969987,0.9884117,5.0,opus,srflx,host,audio,iOS,wlan,udp,,212.159.0,62.166.0,3.67
19.0,0.0,0.0039723525,6.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
18.0,0.0,0.0,2.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
17.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
34.0,0.0,0.5208333,3.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.90.0,3.95
26.0,0.0,0.0,4.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.90.0,4.08
34.0,0.0,3.148855,4.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.90.0,3.31
25.0,0.0,1.4181818,2.0,opus,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.77.0,3.47
16.0,0.0,0.0,4.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
16.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
16.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
74.0,0.09784736,0.7256894,3.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.90.0,3.87
23.0,0.0,0.5298835,6.0,PCMA,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,3.95
13.0,0.0,0.6103143,2.0,PCMA,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,3.94
16.0,0.0,0.0,0.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
40.0,0.13464127,0.6279262,4.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.77.0,3.92
14.0,0.0,1.2237762,5.0,opus,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.56
15.0,0.0,0.0,4.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
18.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
20.0,0.0,0.849359,5.0,PCMA,srflx,host,audio,iOS,wlan,udp,,212.159.0,80.115.0,3.87
17.0,0.0,0.0,4.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
15.0,0.0,0.5368407,4.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.95
15.0,0.0,0.0,17.0,opus,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.90.0,4.18
38.0,0.010827589,0.946822,3.0,opus,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.77.0,3.68
15.0,0.0,0.0036175523,3.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
22.0,0.0,0.09891197,9.0,PCMA,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.90.0,4.06
26.0,0.0,0.2944063,15.0,PCMA,srflx,host,audio,iOS,wlan,udp,,212.159.0,80.115.0,4.0
20.0,0.0,0.0,15.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.08
22.0,0.0,0.4759072,1.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.97
14.0,0.0,0.32467532,14.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,4.0
38.0,0.0,0.0,4.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.77.0,4.08
14.0,0.0,1.7185473,13.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.64
17.0,0.012507296,0.0031789427,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
59.0,0.0,1.0522056,17.0,PCMA,relay,host,audio,iOS,wwan,udp,udp,212.159.0,34.77.0,3.78
19.0,0.013807196,0.025249338,3.0,opus,relay,relay,audio,iOS,wlan,udp,udp,34.77.0,34.77.0,4.17
20.0,0.025250135,0.013807196,4.0,opus,relay,srflx,audio,Win32,lan,udp,udp,77.164.0,34.77.0,4.17
15.0,0.0,0.6692981,3.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.92
41.0,0.0,0.0,6.0,opus,relay,prflx,audio,Win32,lan,udp,udp,NA.0,34.90.0,4.17
47.0,0.0,0.0,4.0,opus,prflx,relay,audio,iOS,wwan,udp,,34.90.0,84.241.0,4.17
39.0,0.0,0.0,,VP8,prflx,relay,video,iOS,wwan,udp,,34.90.0,84.241.0,
39.0,0.0,0.0,,,relay,prflx,screen share,Win32,lan,udp,udp,NA.0,34.90.0,
6.0,0.0,1.0638298,21.0,PCMA,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,3.8
17.0,0.0,0.0,1.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
12.0,0.0,0.0,,,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,
20.0,0.0,0.9402546,7.0,opus,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.77.0,3.69
41.0,0.2938296,0.72805136,6.0,opus,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.77.0,3.79
5.0,0.0,0.0,5.0,opus,prflx,srflx,audio,Win32,lan,udp,,34.90.0,185.149.0,4.18
5.0,0.0,0.0,,,prflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.0,0.0,,,prflx,srflx,screen share,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.0,0.0,4.0,opus,prflx,srflx,audio,Win32,lan,udp,,34.90.0,185.149.0,4.18
4.0,0.0,0.0,,,prflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.0,0.0,,,prflx,srflx,screen share,Win32,lan,udp,,34.90.0,185.149.0,
20.0,0.0,0.0,,,srflx,srflx,video,iOS,wlan,udp,,34.90.0,80.114.0,
18.0,0.0,0.0,0.0,opus,relay,srflx,audio,iOS,wlan,udp,udp,34.90.0,34.90.0,4.18
21.0,0.0,0.0,,,srflx,srflx,screen share,iOS,wlan,udp,,34.90.0,80.114.0,
5.0,0.0,0.0,,,srflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.0,0.019827828,0.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.90.0,185.149.0,4.18
5.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.90.0,185.149.0,
0.0,0.0,0.0,3.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
1.0,0.0,0.0,3.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
17.0,0.0,0.0,4.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
17.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
16.0,0.0,0.0,4.0,opus,srflx,relay,audio,iOS,wlan,udp,,34.90.0,84.31.0,4.18
17.0,0.0,17.790262,,VP8,srflx,relay,video,iOS,wlan,udp,,34.90.0,84.31.0,
20.0,16.579407,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,84.31.0,185.149.0,
20.0,0.0,0.0,7.0,opus,srflx,srflx,audio,Win32,lan,udp,,84.31.0,185.149.0,4.18
35.0,0.0,0.0,,,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.77.0,
38.0,0.0,0.0,,,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.77.0,
16.0,0.0,0.0,5.0,opus,srflx,srflx,audio,iOS,wlan,udp,,185.149.0,84.31.0,4.18
16.0,0.0,0.0,5.0,opus,srflx,srflx,audio,Win32,lan,udp,,84.31.0,185.149.0,4.18
34.0,0.0,1.6961652,4.0,opus,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.90.0,3.34
21.0,0.0,0.0,4.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
19.0,0.0,0.0,2.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
25.0,0.10757245,1.3394462,3.0,opus,relay,host,audio,iOS,wlan,udp,tcp,212.159.0,34.77.0,3.5
17.0,0.0,0.0,4.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
17.0,0.0,0.0,0.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
18.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
21.0,0.0,2.2375937,4.0,PCMA,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.90.0,3.53
17.0,0.0,0.0,0.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
11.0,0.0,0.0,,,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,
50.0,0.0,0.34013605,7.0,PCMA,relay,host,audio,iOS,wwan,udp,udp,212.159.0,34.90.0,3.98
19.0,0.023369946,0.59130436,4.0,opus,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.31.0,3.87
17.0,0.0,0.046849377,5.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.16
1.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
1.0,0.0,0.0,1.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
53.0,0.0,0.0,,,relay,host,audio,iOS,wwan,udp,udp,212.159.0,34.90.0,
0.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
1.0,0.0,0.0,3.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
18.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
17.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
1.0,0.0,0.0,,,host,host,screen share,Win32,lan,udp,,10.10.0,10.10.0,
0.0,0.0,0.0,1.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
1.0,0.0,0.0,3.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
1.0,0.0,0.0,,VP8,host,host,video,Win32,lan,udp,,10.10.0,10.10.0,
17.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
18.0,0.0,0.005866135,0.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
16.0,0.07133416,0.14782892,3.0,opus,srflx,srflx,audio,iOS,wlan,udp,,77.168.0,195.35.0,4.1
17.0,0.0,0.28828475,,VP8,srflx,srflx,video,iOS,wlan,udp,,77.168.0,195.35.0,
17.0,0.14782892,0.07134014,4.0,opus,srflx,srflx,audio,Android,wlan,udp,,195.35.0,77.168.0,4.14
18.0,0.3522693,0.0,,,srflx,srflx,video,Android,wlan,udp,,195.35.0,77.168.0,
1.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
1.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
22.0,0.0,1.1929911,4.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.77.0,3.78
19.0,0.0,0.0,2.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
24.0,0.0,0.0,,,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,
6.0,0.0,0.104931794,16.0,PCMA,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,4.06
16.0,0.0,0.0,0.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
16.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
26.0,0.0,3.686636,1.0,PCMU,relay,host,audio,iOS,wlan,udp,tcp,212.159.0,34.77.0,3.2
1.0,0.0,0.0,4.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
1.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
37.0,0.40338847,0.43305665,11.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.77.0,3.96
20.0,0.0,0.0,17.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.07
18.0,0.0,0.35664752,1.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,4.0
15.0,0.0,0.18198362,4.0,opus,srflx,host,audio,iOS,wlan,udp,,212.159.0,86.89.0,4.09
17.0,0.0,0.0,5.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
2.0,0.0,0.0,,,host,host,screen share,Win32,lan,udp,,10.10.0,10.10.0,
2.0,0.0,0.0,,VP8,host,host,video,Win32,lan,udp,,10.10.0,10.10.0,
2.0,0.0,0.0,5.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.18
206.0,0.0,0.9478673,7.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.77.0,3.75
1.0,0.0,0.0,5.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.18
0.0,0.0,0.0,3.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
0.0,0.0,0.0,4.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
21.0,0.028055213,0.52816904,4.0,opus,srflx,host,audio,iOS,wlan,udp,,212.159.0,86.89.0,3.9
17.0,0.0,0.0,2.0,opus,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.90.0,4.18
17.0,0.0,0.064652145,4.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.15
30.0,0.0,0.0,2.0,PCMA,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.31.0,4.08
33.0,0.0,0.0,,,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.31.0,
59.0,1.0805159,0.12214273,2.0,G722,relay,host,audio,iOS,wwan,udp,udp,212.159.0,34.90.0,3.77
16.0,0.0,0.0,1.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,4.09
18.0,0.0,0.0,0.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,4.09
15.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
19.0,0.0,0.0,0.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,4.09
18.0,0.0,0.0,3.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
28.0,0.0,0.1562907,6.0,PCMA,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.77.0,4.04
1.0,0.0,0.0,9.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.18
3.0,0.0,0.0,4.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.18
16.0,0.0,0.16977929,2.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,4.05
19.0,0.0,0.0,0.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
20.0,0.0,0.116618074,5.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.31.0,4.06
28.0,0.0,0.0,0.0,PCMA,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,4.09
15.0,0.0,0.17064847,1.0,PCMA,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,4.05
10.0,0.0,0.33840948,1.0,PCMA,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,4.01
24.0,0.0,0.0,0.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,4.09
18.0,0.0,0.0,0.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,4.09
11.0,0.0,0.34129694,2.0,PCMA,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,4.01
38.0,0.0,0.0,4.0,PCMA,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.90.0,4.08
9.0,0.0,0.16920474,2.0,PCMA,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,4.05
27.0,0.009720062,0.13105206,5.0,opus,srflx,srflx,audio,Win32,lan,udp,,213.127.0,185.149.0,4.11
22.0,0.13099483,0.009720062,12.0,opus,srflx,srflx,audio,iOS,wlan,udp,,185.149.0,213.127.0,4.17
19.0,0.0,0.0,0.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,4.09
28.0,0.0,0.18034264,5.0,opus,relay,srflx,audio,Win32,lan,udp,udp,84.31.0,34.77.0,4.08
31.0,0.1802343,0.0,2.0,opus,relay,relay,audio,Android,wlan,udp,udp,34.77.0,34.77.0,4.18
20.0,0.0,0.0,4.0,PCMA,relay,host,audio,Win32,lan,udp,tls,212.159.0,34.90.0,4.09
26.0,0.0,0.0,3.0,PCMA,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.90.0,4.08
33.0,0.0,0.0,2.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,4.08
1.0,0.0,0.0,5.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.18
2.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
24.0,0.0,0.0,2.0,PCMA,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.90.0,4.09
112.0,0.0,0.0,,,relay,host,audio,iOS,wwan,udp,udp,212.159.0,34.90.0,
17.0,0.0,0.0,2.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
26.0,0.0,0.0,2.0,PCMA,relay,host,audio,Win32,lan,udp,tls,212.159.0,34.90.0,4.09
19.0,0.0,0.0,2.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
